sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
145;DHT22;3528;-0.286;36.067;2023-02-04T04:22:51.323124+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:22:51.323124+00:00;temperature;12
144;SDS011;3528;-0.286;36.067;2023-02-04T04:22:51.323125+00:00;P2;27
144;SDS011;3528;-0.286;36.067;2023-02-04T04:22:51.323125+00:00;P1;59
145;DHT22;3528;-0.286;36.067;2023-02-04T04:25:32.354784+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:25:32.354784+00:00;temperature;11
144;SDS011;3528;-0.286;36.067;2023-02-04T04:25:32.355326+00:00;P2;27
144;SDS011;3528;-0.286;36.067;2023-02-04T04:25:32.355326+00:00;P1;51
144;SDS011;3528;-0.286;36.067;2023-02-04T04:28:12.715838+00:00;P2;23
144;SDS011;3528;-0.286;36.067;2023-02-04T04:28:12.715838+00:00;P1;56
145;DHT22;3528;-0.286;36.067;2023-02-04T04:28:12.716734+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:28:12.716734+00:00;temperature;12
145;DHT22;3528;-0.286;36.067;2023-02-04T04:30:52.437513+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:30:52.437513+00:00;temperature;12
144;SDS011;3528;-0.286;36.067;2023-02-04T04:30:52.437520+00:00;P2;25
144;SDS011;3528;-0.286;36.067;2023-02-04T04:30:52.437520+00:00;P1;56
145;DHT22;3528;-0.286;36.067;2023-02-04T04:33:32.677578+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:33:32.677578+00:00;temperature;12
144;SDS011;3528;-0.286;36.067;2023-02-04T04:33:32.678818+00:00;P2;31
144;SDS011;3528;-0.286;36.067;2023-02-04T04:33:32.678818+00:00;P1;117
144;SDS011;3528;-0.286;36.067;2023-02-04T04:36:12.927357+00:00;P2;25
144;SDS011;3528;-0.286;36.067;2023-02-04T04:36:12.927357+00:00;P1;37
145;DHT22;3528;-0.286;36.067;2023-02-04T04:36:12.927385+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:36:12.927385+00:00;temperature;12
145;DHT22;3528;-0.286;36.067;2023-02-04T04:38:53.312812+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:38:53.312812+00:00;temperature;12
144;SDS011;3528;-0.286;36.067;2023-02-04T04:38:53.316332+00:00;P2;24
144;SDS011;3528;-0.286;36.067;2023-02-04T04:38:53.316332+00:00;P1;39
145;DHT22;3528;-0.286;36.067;2023-02-04T04:41:32.982615+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:41:32.982615+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2023-02-04T04:41:34.091589+00:00;P2;29
144;SDS011;3528;-0.286;36.067;2023-02-04T04:41:34.091589+00:00;P1;109
144;SDS011;3528;-0.286;36.067;2023-02-04T04:44:13.327431+00:00;P2;24
144;SDS011;3528;-0.286;36.067;2023-02-04T04:44:13.327431+00:00;P1;80
145;DHT22;3528;-0.286;36.067;2023-02-04T04:44:13.328866+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:44:13.328866+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2023-02-04T04:46:53.618956+00:00;P2;25
144;SDS011;3528;-0.286;36.067;2023-02-04T04:46:53.618956+00:00;P1;46
145;DHT22;3528;-0.286;36.067;2023-02-04T04:46:53.618960+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:46:53.618960+00:00;temperature;13
145;DHT22;3528;-0.286;36.067;2023-02-04T04:49:33.236407+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:49:33.236407+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2023-02-04T04:49:33.240110+00:00;P2;19
144;SDS011;3528;-0.286;36.067;2023-02-04T04:49:33.240110+00:00;P1;45
145;DHT22;3528;-0.286;36.067;2023-02-04T04:52:13.549049+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:52:13.549049+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2023-02-04T04:52:13.549063+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2023-02-04T04:52:13.549063+00:00;P1;44
144;SDS011;3528;-0.286;36.067;2023-02-04T04:54:53.813248+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2023-02-04T04:54:53.813248+00:00;P1;38
145;DHT22;3528;-0.286;36.067;2023-02-04T04:54:53.813273+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:54:53.813273+00:00;temperature;14
145;DHT22;3528;-0.286;36.067;2023-02-04T04:57:34.390156+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T04:57:34.390156+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2023-02-04T04:57:34.392875+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2023-02-04T04:57:34.392875+00:00;P1;29
145;DHT22;3528;-0.286;36.067;2023-02-04T05:00:13.815257+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T05:00:13.815257+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2023-02-04T05:00:13.815369+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:00:13.815369+00:00;P1;30
144;SDS011;3528;-0.286;36.067;2023-02-04T05:02:53.670508+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:02:53.670508+00:00;P1;19
145;DHT22;3528;-0.286;36.067;2023-02-04T05:02:53.672793+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T05:02:53.672793+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2023-02-04T05:05:34.749576+00:00;P2;22
144;SDS011;3528;-0.286;36.067;2023-02-04T05:05:34.749576+00:00;P1;35
145;DHT22;3528;-0.286;36.067;2023-02-04T05:05:34.775584+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T05:05:34.775584+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:08:14.749544+00:00;P2;19
144;SDS011;3528;-0.286;36.067;2023-02-04T05:08:14.749544+00:00;P1;32
145;DHT22;3528;-0.286;36.067;2023-02-04T05:08:14.753701+00:00;humidity;100
145;DHT22;3528;-0.286;36.067;2023-02-04T05:08:14.753701+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:10:54.791203+00:00;P2;24
144;SDS011;3528;-0.286;36.067;2023-02-04T05:10:54.791203+00:00;P1;79
145;DHT22;3528;-0.286;36.067;2023-02-04T05:10:54.792254+00:00;humidity;99
145;DHT22;3528;-0.286;36.067;2023-02-04T05:10:54.792254+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:13:35.214403+00:00;P2;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:13:35.214403+00:00;P1;48
145;DHT22;3528;-0.286;36.067;2023-02-04T05:13:35.298508+00:00;humidity;99
145;DHT22;3528;-0.286;36.067;2023-02-04T05:13:35.298508+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:16:15.281997+00:00;P2;22
144;SDS011;3528;-0.286;36.067;2023-02-04T05:16:15.281997+00:00;P1;43
145;DHT22;3528;-0.286;36.067;2023-02-04T05:16:15.289025+00:00;humidity;99
145;DHT22;3528;-0.286;36.067;2023-02-04T05:16:15.289025+00:00;temperature;16
145;DHT22;3528;-0.286;36.067;2023-02-04T05:18:54.941593+00:00;humidity;97
145;DHT22;3528;-0.286;36.067;2023-02-04T05:18:54.941593+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2023-02-04T05:18:54.943865+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:18:54.943865+00:00;P1;34
145;DHT22;3528;-0.286;36.067;2023-02-04T05:21:35.244342+00:00;humidity;97
145;DHT22;3528;-0.286;36.067;2023-02-04T05:21:35.244342+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2023-02-04T05:21:35.244369+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T05:21:35.244369+00:00;P1;19
144;SDS011;3528;-0.286;36.067;2023-02-04T05:24:15.627939+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2023-02-04T05:24:15.627939+00:00;P1;35
145;DHT22;3528;-0.286;36.067;2023-02-04T05:24:15.680683+00:00;humidity;96
145;DHT22;3528;-0.286;36.067;2023-02-04T05:24:15.680683+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2023-02-04T05:26:55.383476+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2023-02-04T05:26:55.383476+00:00;P1;24
145;DHT22;3528;-0.286;36.067;2023-02-04T05:26:55.399735+00:00;humidity;96
145;DHT22;3528;-0.286;36.067;2023-02-04T05:26:55.399735+00:00;temperature;16
145;DHT22;3528;-0.286;36.067;2023-02-04T05:29:35.695352+00:00;humidity;96
145;DHT22;3528;-0.286;36.067;2023-02-04T05:29:35.695352+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2023-02-04T05:29:35.965241+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2023-02-04T05:29:35.965241+00:00;P1;23
145;DHT22;3528;-0.286;36.067;2023-02-04T05:32:16.008494+00:00;humidity;95
145;DHT22;3528;-0.286;36.067;2023-02-04T05:32:16.008494+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2023-02-04T05:32:16.010067+00:00;P2;16
144;SDS011;3528;-0.286;36.067;2023-02-04T05:32:16.010067+00:00;P1;35
145;DHT22;3528;-0.286;36.067;2023-02-04T05:34:56.099353+00:00;humidity;95
145;DHT22;3528;-0.286;36.067;2023-02-04T05:34:56.099353+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:34:56.099389+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:34:56.099389+00:00;P1;28
145;DHT22;3528;-0.286;36.067;2023-02-04T05:37:36.164356+00:00;humidity;95
145;DHT22;3528;-0.286;36.067;2023-02-04T05:37:36.164356+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:37:36.164372+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:37:36.164372+00:00;P1;39
145;DHT22;3528;-0.286;36.067;2023-02-04T05:40:16.695914+00:00;humidity;93
145;DHT22;3528;-0.286;36.067;2023-02-04T05:40:16.695914+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:40:16.696439+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2023-02-04T05:40:16.696439+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2023-02-04T05:42:55.878309+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2023-02-04T05:42:55.878309+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:42:55.878611+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2023-02-04T05:42:55.878611+00:00;P1;35
144;SDS011;3528;-0.286;36.067;2023-02-04T05:45:36.175555+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2023-02-04T05:45:36.175555+00:00;P1;23
145;DHT22;3528;-0.286;36.067;2023-02-04T05:45:36.175949+00:00;humidity;93
145;DHT22;3528;-0.286;36.067;2023-02-04T05:45:36.175949+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:48:16.730855+00:00;P2;12
144;SDS011;3528;-0.286;36.067;2023-02-04T05:48:16.730855+00:00;P1;36
145;DHT22;3528;-0.286;36.067;2023-02-04T05:48:16.730858+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2023-02-04T05:48:16.730858+00:00;temperature;18
145;DHT22;3528;-0.286;36.067;2023-02-04T05:50:57.144848+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2023-02-04T05:50:57.144848+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:50:57.144978+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:50:57.144978+00:00;P1;63
145;DHT22;3528;-0.286;36.067;2023-02-04T05:53:37.412568+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2023-02-04T05:53:37.412568+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:53:37.419565+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T05:53:37.419565+00:00;P1;12
145;DHT22;3528;-0.286;36.067;2023-02-04T05:56:16.663044+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2023-02-04T05:56:16.663044+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:56:16.663046+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2023-02-04T05:56:16.663046+00:00;P1;20
145;DHT22;3528;-0.286;36.067;2023-02-04T05:58:56.944309+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2023-02-04T05:58:56.944309+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:58:56.944311+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T05:58:56.944311+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2023-02-04T06:01:37.381724+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2023-02-04T06:01:37.381724+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:01:37.381743+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2023-02-04T06:01:37.381743+00:00;P1;18
